image_name,response_key,response_time,location,cue_location,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180,t181,t182,t183,t184,t185,t186,t187,t188,t189,t190,t191,t192,t193,t194,t195,t196,t197,t198,t199,t200,t201,t202,t203,t204,t205,t206,t207,t208,t209,t210,t211,t212,t213,t214,t215,t216,t217,t218,t219,t220,t221,t222,t223,t224,t225,t226,t227,t228,t229,t230,t231,t232,t233,t234,t235,t236,t237,t238,t239,t240,t241,t242,t243,t244,t245,t246,t247,t248,t249,t250,t251,t252,t253,t254,t255,t256,t257,t258,t259,t260,t261,t262,t263,t264,t265,t266,t267,t268,t269,t270,t271,t272,t273,t274,t275,t276,t277,t278,t279,t280,t281,t282,t283,t284,t285,t286,t287,t288,t289,t290,t291,t292,t293,t294,t295,t296,t297,t298,t299,t300,t301,t302,t303,t304,t305,t306,t307,t308,t309,t310,t311,t312,t313,t314,t315,t316,t317,t318,t319,t320,t321,t322,t323,t324,t325,t326,t327,t328,t329,t330,t331,t332,t333,t334,t335,t336,t337,t338,t339,t340,t341,t342,t343,t344,t345,t346,t347,t348,t349,t350,t351,t352,t353,t354,t355,t356,t357,t358,t359,t360,t361,t362,t363,t364,t365,t366,t367,t368,t369,t370,t371,t372,t373,t374,t375,t376,t377,t378,t379,t380,t381,t382,t383,t384,t385,t386,t387,t388,t389,t390,t391,t392,t393,t394,t395,t396,t397,t398,t399,t400,t401,t402,t403,t404,t405,t406,t407,t408,t409,t410,t411,t412,t413,t414,t415,t416,t417,t418,t419,t420,t421,t422,t423,t424,t425,t426,t427,t428,t429,t430,t431,t432,t433,t434,t435,t436,t437,t438,t439,t440,t441,t442,t443,t444,t445,t446,t447,t448
FS/272.png,e,0.3391267999832053,-8.0,-8.0,4.629807,4.6251645,4.6252003,4.630372,4.624175,4.6276903,4.576846,4.627602,4.605996,4.6080775,4.656878,4.6459827,4.6167574,4.6406765,4.567206,4.542641,4.6578364,4.5883374,4.496911,4.618083,4.598109,4.5940695,4.567189,4.5904737,4.5608535,4.589088,4.566681,4.5835443,4.608131,4.58472,4.5895243,4.5970054,4.599622,4.605483,4.6016445,4.605951,4.6067123,4.5855975,4.6048727,4.5743575,4.5672984,4.595895,4.611956,4.597302,4.5871596,4.596861,4.576698,4.5932612,4.5777435,4.5450983,4.5917764,4.603795,4.5941668,4.5728493,4.595661,4.5713477,4.5509915,4.608125,4.580037,4.595509,4.590819,4.577473,4.560941,4.512607,4.5708017,4.5352817,4.5367084,4.530726,4.5614095,4.525274,4.5179257,4.522299,4.5292816,4.5294476,4.4484625,4.458546,4.506966,4.448167,4.510459,4.4689436,4.4721813,4.451849,4.444261,4.4242177,4.47159,4.4865603,4.464966,4.4478025,4.443951,4.4994903,4.435568,4.426643,4.470269,4.4555163,4.4696097,4.4641376,4.4631786,4.460784,4.4705095,4.4739203,4.4744625,4.5020657,4.503205,4.493813,4.471456,4.491442,4.4480276,4.481244,4.468435,4.5021963,4.5239344,4.5555997,4.449581,4.480513,4.512107,4.525617,4.501185,4.530868,4.4955516,4.5309567,4.5070796,4.5012326,4.5443783,4.558234,4.522179,4.470918,4.4897933,4.5214863,4.474773,4.4695625,4.4831095,4.484884,4.4755025,4.4649367,4.4292836,4.3849134,4.3828697,4.374184,4.3776064,4.35447,4.342807,4.3452764,4.277058,4.2454104,4.2414417,4.254935,4.1880827,4.2342033,4.2456794,4.2076283,4.2030296,4.194838,4.2021313,4.181867,4.169188,4.148316,4.175469,4.1756687,4.1588473,4.1556163,4.1481767,4.150257,4.164233,4.1579123,4.1519423,4.173215,4.141314,4.139612,4.1564083,4.173093,4.1521273,4.1427116,4.1581655,4.155534,4.1848407,4.1615415,4.16727,4.186168,4.166477,4.2242546,4.2325883,4.224677,4.225263,4.2349734,4.248488,4.2451653,4.2104096,4.2688856,4.256426,4.2975173,4.310508,4.3265624,4.2991457,4.3166733,4.336064,4.350165,4.3376374,4.3429494,4.3469577,4.359765,4.376304,4.3536706,4.4238963,4.3807616,4.37057,4.4132953,4.397859,4.389001,4.402773,4.3876286,4.4057417,4.4144235,4.3878274,4.3762875,4.404668,4.3763375,4.3442345,4.3680444,4.3282294,4.33156,4.298247,4.246537,4.2627273,4.2149925,4.180869,4.156974,4.1477256,4.120235,4.1133537,4.081056,4.0859323,4.0384693,3.9916053,4.0230227,3.9417524,4.000186,3.971795,3.9297588,3.9498293,3.9012341,3.9122214,3.9441803,3.913493,3.8937156,3.9052634,3.9034014,3.8883297,3.881462,3.8737109,3.8509045,3.9001985,3.8945582,3.8788552,3.9071872,3.8778872,3.8787022,3.906994,3.9069593,3.8743932,3.8698928,3.8969178,3.8595166,3.8792255,3.8970184,3.892347,3.9337075,3.9349732,3.9254096,3.9164546,3.8902168,3.920449,3.7877204,3.6820004,3.8137798,4.187979,4.379342,4.3624187,4.329837,4.2969527,4.3322325,4.3631363,4.2959547,4.356333,4.4074855,4.402113,4.3604016,4.3680987,4.3710074,4.382451,4.3579307,4.365411,4.455016,4.1771417,4.782538,4.2024474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS/372.png,e,0.3232063000032212,-8.0,-8.0,4.659469,4.1356792,4.0667744,4.180765,4.2030864,4.104954,4.123441,4.09969,4.150578,4.1131887,4.174027,4.153714,4.1976576,4.1985855,4.20111,4.2358694,4.20203,4.2132783,4.23872,4.2276144,4.2509913,4.2111993,4.1968145,4.238656,4.221148,4.2347984,4.2545185,4.2409687,4.262675,4.2619567,4.2509756,4.2413955,4.246579,4.2845106,4.2885265,4.261326,4.2682357,4.2502975,4.253239,4.3031244,4.2371855,4.256226,4.284729,4.293717,4.2679567,4.3561373,4.278153,4.2997556,4.2564583,4.221371,4.2430725,4.210729,4.239629,4.2249866,4.265547,4.2361827,4.19901,4.209683,4.245131,4.2202964,4.189859,4.193018,4.1359587,4.163725,4.1304727,4.148459,4.143504,4.1454973,4.1330514,4.1464047,4.154629,4.1390176,4.134341,4.121463,4.121598,4.134975,4.1217904,4.1295805,4.1195226,4.1264305,4.104926,4.088614,4.0949883,4.122222,4.11209,4.1121383,4.1201878,4.1131454,4.103755,4.092651,4.1053214,4.087065,4.1238914,4.131404,4.114914,4.0467505,4.098712,4.110613,4.1267858,4.1039605,4.095826,4.1270585,4.106037,4.1065454,4.107371,4.1122527,4.09452,4.087895,4.0770636,4.099737,4.096189,4.09006,4.039485,4.103169,4.0959272,4.0704193,4.104139,4.0713573,4.112904,4.120847,4.1073995,4.11206,4.101606,4.0846143,4.1119556,4.108277,4.129911,4.1469846,4.1318817,4.1503525,4.175163,4.143291,4.140862,4.117012,4.099751,4.1412115,4.126995,4.1426964,4.1473694,4.141243,4.135009,4.1447716,4.1378436,4.1532907,4.135234,4.107996,4.131438,4.127689,4.1370583,4.0957527,4.0604954,4.0614305,4.0507836,4.0245113,4.0440855,4.041182,3.980805,3.9797041,3.9723802,3.9453437,3.9528706,3.9576528,3.9628806,3.9276688,3.9422789,3.9478233,3.8983305,3.881638,3.905677,3.8731325,3.880176,3.8928666,3.9232743,3.9233909,3.9413888,3.9005268,3.8940742,3.8934684,3.8994849,3.8973706,3.8835104,3.9398084,3.893373,3.9437587,3.924303,3.9666836,3.9545462,3.966339,3.9523027,3.976997,3.994038,3.9630032,3.978095,4.001994,4.0183687,4.0232434,4.041364,4.015962,4.0247293,4.0626945,4.025127,4.053519,4.07985,4.097619,4.1259203,4.099536,4.11447,4.1800184,4.1963496,4.140813,4.205372,4.1730022,4.176575,4.211229,4.1793876,4.2314444,4.284901,4.2521825,4.279551,4.295872,4.2919903,4.3143835,4.304182,4.3121285,4.303046,4.3005238,4.3117414,4.3039985,4.3348136,4.303357,4.2862096,4.271141,4.228619,4.2281146,4.2312355,4.170293,4.1438794,4.1300793,4.098319,4.1037064,4.055833,4.052764,4.0454483,3.9871256,4.0279045,3.9819956,3.9099507,3.9623935,3.9064815,3.9040382,3.902103,3.9051173,3.8681817,3.8940637,3.8603518,3.8611574,3.8327136,3.8408859,3.8603404,3.8426888,3.8357341,3.8244638,3.7294228,3.752884,3.7512255,3.774121,3.7273285,3.77866,3.8240173,3.7819762,3.801613,3.769192,3.786172,3.804149,3.7999568,3.8175268,3.7896085,3.7836385,3.7811053,3.7338028,3.7386968,3.8013496,3.9359033,4.495701,3.637621,3.9001887,4.0373545,4.4781413,3.9050915,4.107589,4.0807123,4.079727,4.1021314,4.0739045,4.058199,4.1799774,4.221892,4.199519,4.1801677,4.2203193,4.2401366,4.24914,4.257354,4.2271185,4.2571874,4.2807584,4.239943,4.253035,4.2619047,4.255994,4.2175894,4.222821,4.231525,4.2587037,4.9416933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS/462.png,e,0.4606586000008974,8.0,8.0,4.1364956,4.082477,4.114786,4.0955906,4.1350884,4.1495466,4.1617637,4.1620927,4.171702,4.202702,4.1802425,4.202088,4.199856,4.179374,4.2037344,4.2266507,4.2036567,4.191814,4.225229,4.2097735,4.209302,4.227956,4.243533,4.2535644,4.2637424,4.276463,4.2612863,4.2653017,4.2685204,4.2460585,4.288742,4.285392,4.28325,4.2883525,4.3202677,4.296996,4.324867,4.31967,4.3016276,4.287462,4.3048687,4.3142686,4.31096,4.3027735,4.302292,4.2883353,4.311339,4.3419776,4.288844,4.3181562,4.3002753,4.299515,4.307865,4.303798,4.293968,4.309541,4.299164,4.297285,4.3053055,4.312349,4.3004103,4.2759514,4.308389,4.299283,4.3202043,4.294215,4.304347,4.2819295,4.2974324,4.302499,4.3124094,4.300014,4.305094,4.301769,4.322869,4.295898,4.295757,4.308148,4.29575,4.3186812,4.288708,4.28694,4.290464,4.288026,4.287956,4.306285,4.267116,4.288753,4.3102927,4.3085084,4.2969193,4.2894487,4.2987733,4.294815,4.298137,4.3037868,4.2931304,4.304544,4.296093,4.3098497,4.2971506,4.3036427,4.310774,4.3082523,4.306932,4.321746,4.3259687,4.302941,4.3028936,4.332259,4.318999,4.3293595,4.3120165,4.307058,4.305379,4.340978,4.356853,4.362358,4.3348765,4.3430614,4.3564267,4.369219,4.4281297,4.3585124,4.4442863,4.4369435,4.3819494,4.419072,4.397301,4.4282665,4.437223,4.4388237,4.448202,4.481663,4.45006,4.484344,4.471728,4.5007324,4.4754148,4.4857416,4.498935,4.49884,4.5142407,4.5217395,4.538534,4.519343,4.515187,4.4875145,4.598006,4.494011,4.4827704,4.48345,4.5543904,4.5753164,4.512024,4.473638,4.484643,4.5183816,4.4824095,4.514603,4.4867663,4.534257,4.5067663,4.5462937,4.4822474,4.530625,4.546218,4.5162773,4.5359793,4.4830666,4.4914966,4.5071063,4.5084333,4.5218315,4.512403,4.4927754,4.513705,4.5451393,4.517845,4.5332108,4.5095186,4.4983873,4.5340796,4.523194,4.5590367,4.552985,4.5514207,4.5422063,4.5260906,4.563096,4.5411086,4.545239,4.5559664,4.5902815,4.5549664,4.6224236,4.6147995,4.6056085,4.5870204,4.5894756,4.606458,4.637122,4.6228566,4.6333323,4.6434803,4.6458573,4.6141295,4.642924,4.6458654,4.6491838,4.6433496,4.643508,4.642437,4.6913223,4.657107,4.664009,4.661682,4.6785855,4.696367,4.6610174,4.6634703,4.7185397,4.7083864,4.709533,4.7212725,4.7335997,4.716514,4.7081122,4.6904182,4.723396,4.711722,4.6954494,4.7163415,4.6389074,4.6420717,4.6171026,4.6174874,4.5485973,4.5426817,4.509486,4.4787984,4.4551196,4.47077,4.4310255,4.421336,4.39363,4.3273506,4.325969,4.30081,4.2954793,4.269057,4.2572722,4.2330775,4.203146,4.223364,4.188059,4.156655,4.1520452,4.1550875,4.150092,4.1048727,4.109135,4.100461,4.10072,4.1087303,4.118221,4.0601344,4.037098,4.043907,3.993084,4.1144624,4.188178,4.2350836,4.2804894,4.3519073,4.3458166,4.304129,4.32058,4.36339,4.33597,4.3582916,4.357169,4.354912,4.345222,4.3316736,4.4571805,4.526569,4.5374703,4.538154,4.551706,4.530771,4.5416174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
