image_name,response_key,response_time,location,cue_location,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180,t181,t182,t183,t184,t185,t186,t187,t188,t189,t190,t191,t192,t193,t194,t195,t196,t197,t198,t199,t200,t201,t202,t203,t204,t205,t206,t207,t208,t209,t210,t211,t212,t213,t214,t215,t216,t217,t218,t219,t220,t221,t222,t223,t224,t225,t226,t227,t228,t229,t230,t231,t232,t233,t234,t235,t236,t237,t238,t239,t240,t241,t242,t243,t244,t245,t246,t247,t248,t249,t250,t251,t252,t253,t254,t255,t256,t257,t258,t259,t260,t261,t262,t263,t264,t265,t266,t267,t268,t269,t270,t271,t272,t273,t274,t275,t276,t277,t278,t279,t280,t281,t282,t283,t284,t285,t286,t287,t288,t289,t290,t291,t292,t293,t294,t295,t296,t297,t298,t299,t300,t301,t302,t303,t304,t305,t306,t307,t308,t309,t310,t311,t312,t313,t314,t315,t316,t317,t318,t319,t320,t321,t322,t323,t324,t325,t326,t327,t328,t329,t330,t331,t332,t333,t334,t335,t336,t337,t338,t339,t340,t341,t342,t343,t344,t345,t346,t347,t348,t349,t350,t351,t352,t353,t354,t355,t356,t357,t358,t359,t360,t361,t362,t363,t364,t365,t366,t367,t368,t369,t370,t371,t372,t373,t374,t375,t376,t377,t378,t379,t380,t381,t382,t383,t384,t385,t386,t387,t388,t389,t390,t391,t392,t393,t394,t395,t396,t397,t398,t399,t400,t401,t402,t403,t404,t405,t406,t407,t408,t409,t410,t411,t412,t413,t414,t415,t416,t417,t418,t419,t420,t421,t422,t423,t424,t425,t426,t427,t428,t429,t430,t431,t432,t433,t434,t435,t436,t437,t438,t439,t440,t441,t442,t443,t444,t445,t446,t447,t448,t449,t450,t451,t452,t453,t454,t455,t456,t457,t458,t459,t460,t461
FS/201.png,e,0.2940095000085421,-4.0,8.0,2.8561351,2.861601,2.8617854,2.8656359,2.8702006,2.872216,2.8667123,2.8641434,2.8614738,2.8826692,2.8725307,2.879504,2.8789227,2.87547,2.8807573,2.8527792,2.8758628,2.8884354,2.9133582,2.8865876,2.8847911,2.881791,2.9041095,2.8915088,2.8704753,2.9013395,2.8912046,2.9122941,2.8968365,2.9195325,2.8851023,2.8934996,2.8958957,2.896506,2.9116445,2.91128,2.9280372,2.902802,2.9069893,2.9014816,2.908014,2.9185808,2.9219153,2.938704,2.9089777,2.9543242,2.9408777,2.9360166,2.92426,2.916449,2.9447148,2.946911,2.9108732,2.917625,2.9140582,2.9200463,2.8813193,2.8963895,2.8845294,2.8693733,2.8555088,2.8601978,2.8429186,2.8437746,2.8314905,2.8332922,2.8355973,2.8227105,2.8101957,2.8107462,2.7849317,2.78707,2.7806275,2.7754524,2.781687,2.7775378,2.7721102,2.7712197,2.758069,2.7546554,2.730999,2.7361789,2.738313,2.7042148,2.7088866,2.7346077,2.689517,2.693086,2.6847322,2.684651,2.7162042,2.6873527,2.6799388,2.7030613,2.7053852,2.6870995,2.6885266,2.6828132,2.6840847,2.7067873,2.6749635,2.682255,2.6772552,2.67921,2.678266,2.6874626,2.6936564,2.694233,2.7003446,2.7139626,2.689982,2.695824,2.691775,2.69613,2.714778,2.720216,2.707673,2.7177007,2.709867,2.7295878,2.7195222,2.7363005,2.7233815,2.7283492,2.7321405,2.7477143,2.764463,2.7324908,2.7736979,2.763232,2.7708936,2.7477453,2.7517834,2.7664738,2.7698834,2.7666836,2.7779603,2.7693112,2.7552319,2.7628086,2.7709582,2.7840598,2.7791533,2.7664995,2.7734993,2.7558355,2.7580438,2.7666855,2.759834,2.7224672,2.7591903,2.7599099,2.7376387,2.7419808,2.7372265,2.6958778,2.6979105,2.693052,2.687722,2.6905653,2.6797745,2.6865783,2.6830428,2.683709,2.674767,2.674933,2.6673398,2.686009,2.6745765,2.676656,2.6839564,2.6636188,2.6691353,2.671129,2.6681285,2.6758919,2.669669,2.678403,2.6631463,2.6730943,2.671661,2.6723192,2.6893423,2.6833708,2.6837044,2.687742,2.6897948,2.6880264,2.68739,2.6838987,2.687368,2.6796045,2.692872,2.7132633,2.7051072,2.7084892,2.6986783,2.6280127,2.6494026,2.6252193,2.649286,2.6434267,2.6281881,2.6815236,2.6493576,2.6544788,2.6645474,2.681261,2.6903472,2.6874835,2.6894212,2.6771631,2.6879668,2.6910472,2.672016,2.701919,2.7003295,2.6904078,2.6981537,2.7014396,2.695937,2.694115,2.6964145,2.69317,2.697402,2.6990047,2.6573327,2.666112,2.6354098,2.6193151,2.6282222,2.6026182,2.5950484,2.5856013,2.5740576,2.565547,2.5440378,2.5392182,2.5342565,2.530491,2.5184913,2.4984133,2.4846268,2.489818,2.4558632,2.4650304,2.4657943,2.4160576,2.4099815,2.4250505,2.4182189,2.4140916,2.4043279,2.3928235,2.3771367,2.3857045,2.3790214,2.381425,2.377522,2.3816693,2.373581,2.3801134,2.3755157,2.3799624,2.3822577,2.3736815,2.3736908,2.3816829,2.3832765,2.3896375,2.3872976,2.3883493,2.3788671,2.3792224,2.375382,2.423882,2.3978515,2.4057987,2.403376,2.4496136,2.4209023,2.4310327,2.4298751,2.4482846,2.4459286,2.464459,2.486214,2.4827566,2.507272,2.5064757,2.511769,2.5114398,2.526494,2.5285068,2.5246556,2.5566947,2.5447538,2.5565672,2.555811,2.5819292,2.5885985,2.586347,2.5820243,2.572695,2.5888908,2.5998054,2.583847,2.592291,2.6033864,2.6222162,2.6623785,2.647985,2.6394181,2.6371408,2.6570592,2.6527638,2.642251,2.6917496,2.683601,2.663257,2.6838024,2.674714,2.7882025,2.790397,2.7759287,2.7975647,2.8118732,2.786534,2.7908916,2.7980764,2.8138397,2.770769,2.7937653,2.7993026,2.8127148,2.820469,2.8134823,2.8160965,2.8157954,2.8079538,2.8101847,2.811495,2.8171716,2.8178773,2.8215764,2.8200948,2.824009,2.8244956,2.8223822,2.8392258,2.8393493,2.8258612,2.8329802,2.8221483,2.8259146,2.8209953,2.8223476,2.8348386,2.8325863,2.8412638,2.8450913,2.8521667,2.8617146,2.8608603,2.8565645,2.8592553,2.857863,2.8798594,2.8758938,2.8767533,2.8733554,2.899296,2.9046655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS/561.png,e,0.3558992000180296,-8.0,0.0,2.608586,2.6019857,2.6126826,2.6220033,2.6190314,2.6299288,2.6439087,2.6495602,2.6204119,2.6488357,2.6576548,2.6521938,2.646413,2.6474838,2.644579,2.6635098,2.6525602,2.6615157,2.6790025,2.6930833,2.6927774,2.695734,2.6648118,2.683751,2.692226,2.6815867,2.6774879,2.696164,2.7008672,2.6856985,2.6987536,2.6815171,2.6791897,2.686511,2.6908596,2.6939244,2.6952481,2.6953294,2.690563,2.7007785,2.6943738,2.6887972,2.6913817,2.6995118,2.7006643,2.6979573,2.6986012,2.6928463,2.6962929,2.6941812,2.694302,2.7067122,2.7020888,2.7068865,2.6964362,2.6947854,2.674117,2.671472,2.6600785,2.6648235,2.657418,2.6524422,2.648207,2.6262836,2.6249096,2.6015503,2.5668669,2.5760214,2.5579693,2.542175,2.5293498,2.5375602,2.5261729,2.5213873,2.5402627,2.5131404,2.519078,2.5229154,2.5081756,2.5055676,2.496556,2.5023117,2.5024836,2.4946804,2.4935112,2.4898186,2.4864583,2.4778657,2.4818602,2.4587085,2.4846077,2.486519,2.4663246,2.4648423,2.468543,2.4896777,2.469099,2.4705286,2.4259253,2.4309165,2.4214308,2.4210072,2.4285488,2.430692,2.4329615,2.4307287,2.422986,2.4215379,2.428218,2.4388287,2.4319432,2.4538429,2.4399912,2.4556656,2.4506176,2.455113,2.4590542,2.466652,2.4546359,2.4584737,2.4682064,2.4632156,2.459571,2.4783936,2.466807,2.4737704,2.4754615,2.4656513,2.4616036,2.4699745,2.4739032,2.466307,2.472887,2.477197,2.4890747,2.4864151,2.4833517,2.4817588,2.4828494,2.4886322,2.461124,2.4590142,2.4795666,2.458298,2.4897192,2.4838405,2.4653642,2.4880872,2.4765599,2.4790852,2.470539,2.4717104,2.4687955,2.4791398,2.4514196,2.471498,2.4690485,2.4572628,2.4589305,2.467722,2.45268,2.4424503,2.4587724,2.4378078,2.443113,2.4492347,2.4410753,2.463146,2.443275,2.463596,2.4400964,2.4438822,2.4440818,2.461278,2.449107,2.4535306,2.4549596,2.4675097,2.478079,2.4639719,2.4871433,2.4814036,2.4740446,2.4679666,2.4756157,2.4772272,2.4917834,2.4953601,2.500868,2.5011199,2.5042727,2.5195885,2.509744,2.514773,2.5192392,2.5262308,2.5190778,2.5500546,2.5485525,2.5497985,2.543401,2.549556,2.560636,2.5701935,2.5879703,2.5959587,2.5753,2.5815184,2.6047115,2.602974,2.5932193,2.5939593,2.5928295,2.6012893,2.6140077,2.602685,2.6195383,2.608111,2.6245232,2.6034455,2.6056013,2.596882,2.6972764,2.6867867,2.6826425,2.6770308,2.6466823,2.6516452,2.6332133,2.592651,2.5906096,2.5993657,2.5889094,2.5723257,2.5568612,2.5649996,2.5493674,2.557801,2.5178576,2.5174098,2.5016086,2.5156713,2.4891415,2.4838064,2.4651926,2.4496295,2.4576392,2.42979,2.4479046,2.4282181,2.414728,2.4176095,2.4122803,2.3963947,2.4052804,2.407258,2.3777795,2.3805966,2.3984737,2.3764732,2.3719447,2.3728516,2.3697016,2.373234,2.3752928,2.3691213,2.3941188,2.395133,2.389251,2.4223278,2.3859038,2.381397,2.406957,2.3884563,2.4169424,2.4105368,2.4216182,2.419092,2.4367034,2.4318764,2.4367812,2.4306445,2.4527814,2.4545689,2.4573324,2.4481955,2.4739711,2.4734151,2.5045428,2.4865572,2.5065453,2.5030634,2.5165808,2.520273,2.537813,2.5329223,2.54693,2.5282311,2.5412889,2.528282,2.5669184,2.572304,2.5443106,2.6001582,2.5406191,2.6206863,2.6126308,2.6285574,2.5981147,2.6103013,2.593263,2.6158092,2.5813255,2.6032763,2.6181295,2.6269467,2.6265461,2.6304789,2.6281612,2.6465235,2.642394,2.6393647,2.6481776,2.6563144,2.6409664,2.6713214,2.652137,2.6827745,2.6685877,2.6652827,2.6592047,2.665479,2.6829274,2.702639,2.6722136,2.6637568,2.6661716,2.6780398,2.6871629,2.6721494,2.680747,2.669877,2.6833372,2.683145,2.6989565,2.694732,2.6950495,2.9853964,2.9783554,2.974898,2.9943435,2.9861948,2.9780254,3.0052912,3.022511,3.0039248,3.0029297,3.0247712,3.01007,3.0403044,3.0302072,3.0264583,3.0224686,3.0602047,3.0486376,3.0313983,3.0407672,3.068274,3.0601892,3.054133,3.0726316,3.0801423,3.062491,3.086189,3.0834367,3.0896003,3.091625,3.0831797,3.091065,3.104726,3.1004715,3.1011078,3.1221285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS/161.png,e,0.5355626000091434,16.0,-8.0,3.5600896,3.580487,3.5786715,3.550895,3.5860128,3.5668623,3.6108677,3.595623,3.5833058,3.5956314,3.6166995,3.5906937,3.5613692,3.5779405,3.5779877,3.5579505,3.5634701,3.5697691,3.565625,3.5650396,3.5581121,3.5397546,3.5401278,3.532267,3.5528116,3.5455995,3.5442305,3.5431926,3.552725,3.5619102,3.542402,3.5413086,3.5425484,3.5600345,3.555109,3.5492527,3.5366452,3.568776,3.565569,3.568736,3.5530376,3.5459688,3.5677793,3.558204,3.5795865,3.579651,3.5853689,3.5720208,3.5468974,3.6710556,3.6044307,3.6086037,3.618471,3.6057866,3.5924203,3.5751324,3.5754025,3.5014954,3.4623697,3.4518914,3.4375741,3.4457135,3.4240925,3.460554,3.4192932,3.374622,3.4182653,3.358116,3.4084656,3.3992805,3.3971436,3.343001,3.3684332,3.3378136,3.3544972,3.3448756,3.353437,3.3783927,3.3492913,3.3601298,3.344148,3.3440275,3.3515568,3.369132,3.3782303,3.364944,3.3666017,3.3554735,3.3779545,3.3748388,3.390336,3.4292967,3.3899965,3.4154193,3.3984714,3.4223301,3.4542584,3.4469278,3.45255,3.4458692,3.4350822,3.4421234,3.4657004,3.4565866,3.4665694,3.4473393,3.4564393,3.455948,3.446823,3.4677987,3.4843998,3.4511755,3.4983692,3.48949,3.4768462,3.4720492,3.4515982,3.4434536,3.425657,3.457638,3.4596334,3.4335577,3.4620156,3.422713,3.4605534,3.4227827,3.4328845,3.428184,3.4043372,3.408268,3.407297,3.3835084,3.428002,3.3963728,3.383234,3.396158,3.3720124,3.3803363,3.3807254,3.380418,3.3350797,3.331993,3.3596168,3.3423805,3.3427284,3.3276875,3.3433502,3.3298068,3.3365898,3.3096967,3.3146167,3.322371,3.330604,3.3212752,3.2973568,3.2993765,3.2813256,3.3000436,3.3012283,3.2976604,3.3175087,3.2873325,3.297941,3.310851,3.2911925,3.3111203,3.300028,3.3151789,3.3084733,3.3216503,3.3348014,3.330802,3.3182476,3.3203154,3.3327546,3.3372848,3.353848,3.3541117,3.3631277,3.381985,3.3679502,3.3951232,3.3899064,3.3823478,3.3949971,3.3907752,3.394673,3.433382,3.443676,3.4538255,3.45886,3.417591,3.4279397,3.4318554,3.4685369,3.436193,3.4496398,3.455627,3.4941916,3.4433846,3.4855776,3.4935236,3.5134501,3.500088,3.507895,3.5038774,3.4995863,3.4929197,3.5431302,3.5587652,3.5188246,3.541427,3.5387268,3.5506825,3.510247,3.508688,3.5440536,3.5095763,3.5023289,3.4676604,3.501032,3.4710116,3.4647658,3.4499435,3.4356115,3.457587,3.4391675,3.4423387,3.4231281,3.4530375,3.4240842,3.3933768,3.408195,3.3496883,3.3610504,3.3466687,3.3693786,3.359866,3.3965738,3.3507833,3.3614464,3.3533978,3.3491697,3.355083,3.34424,3.357313,3.3620563,3.365569,3.3760278,3.3601334,3.389439,3.3610926,3.3626785,3.3633425,3.4010508,3.412995,3.3875706,3.411912,3.450605,3.4170845,3.4540756,3.4463992,3.4434216,3.4688106,3.474985,3.4932754,3.4937823,3.4833443,3.4828467,3.4807127,3.4944582,3.5104814,3.5226946,3.5195289,3.5232537,3.5265927,3.5191739,3.530493,3.5395157,3.5465903,3.5350757,3.5473866,3.5457525,3.5742455,3.6366029,3.5979729,3.5893,3.6240363,3.6020782,3.6208093,3.6384354,3.6322312,3.6227963,3.6322722,3.6545448,3.6654425,3.6738026,3.6740692,3.7041945,3.67931,3.6957798,3.6806264,3.727739,3.7166567,3.7144346,3.686927,3.741582,3.7044551,3.7354162,3.7385473,3.75362,3.7944684,3.740283,3.7542586,3.7635784,3.7308748,3.7566018,3.7551112,3.8142529,3.7659585,3.7919137,3.7781096,3.8212025,3.7950838,3.7928386,3.7843132,3.802773,3.8298104,3.7952724,3.8286905,3.863519,3.854711,3.8533392,3.862784,3.8876956,3.8346293,3.8836994,3.8575287,3.8908513,3.8810198,3.8799,3.87372,3.8885715,3.8889694,3.8721302,3.8948195,3.87934,3.8772292,3.903724,3.8968244,3.8753967,3.899431,3.886076,3.8840284,3.8772757,3.89215,3.8873153,3.8795774,3.8808188,3.8666503,3.8615086,3.8481638,3.8628273,3.898693,3.8936696,3.920778,3.8535533,3.8599017,3.902542,3.8717291,3.9033427,3.8854887,3.9043453,3.8643463,3.8741581,3.8982995,3.8845994,3.9049947,3.8664021,3.900629,3.7691128,3.906521,3.9013016,3.9066925,3.9146771,3.9085195,3.8964097,3.9367738,3.908014,3.8974757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS/281.png,e,0.3546011000289581,8.0,16.0,3.652461,3.6375685,3.6383555,3.6584327,3.6431344,3.630296,3.6608431,3.6440232,3.6416285,3.642911,3.6265535,3.637028,3.631158,3.6281333,3.6442926,3.6607685,3.636283,3.6375632,3.622533,3.6275735,3.6232166,3.6211412,3.6135895,3.629235,3.8837042,3.8111296,3.8026292,3.813623,3.812387,3.8055482,3.8084443,3.834693,3.809601,3.7864811,3.7983952,3.8143206,3.7982657,3.8133154,3.8051434,3.7946582,3.7845724,3.7927687,3.7940402,3.8056848,3.820076,3.817896,3.8163397,3.8313956,3.8340812,3.8237886,3.8369794,3.8460085,3.8125343,3.8222191,3.82391,3.7908828,3.84539,3.8020651,3.7963963,3.7861075,3.7719626,3.7884965,3.7800026,3.7606707,3.765839,3.7691274,3.7376127,3.7532995,3.7272835,3.7202702,3.723619,3.7008715,3.6959112,3.6731684,3.67762,3.6653647,3.6653934,3.6549203,3.6621704,3.6699524,3.6747775,3.6663036,3.6659665,3.6621494,3.6559262,3.6612995,3.65048,3.6457858,3.6503959,3.6610258,3.655487,3.649533,3.652692,3.659549,3.6375897,3.654627,3.6572952,3.6423895,3.6486523,3.6475654,3.6546006,3.6451762,3.63136,3.6435971,3.6656444,3.6482074,3.6736104,3.6609163,3.6430452,3.6710274,3.6538363,3.66817,3.6589985,3.6556234,3.6504147,3.6759129,3.6886547,3.713725,3.6805277,3.6788762,3.7017937,3.71935,3.7026825,3.7191677,3.7206702,3.7350883,3.7276936,3.7496247,3.7569273,3.7770278,3.7888973,3.778856,3.7907934,3.7702856,3.7883544,3.7757857,3.762365,3.7855077,3.7728958,3.800935,3.8150914,3.7986472,3.814615,3.8476372,3.8476303,3.8274386,3.830526,3.8177795,3.847677,3.3604703,3.3630686,3.3815038,3.3701215,3.3807104,3.3686447,3.361328,3.3878818,3.3524134,3.3586729,3.3608093,3.3806872,3.3707302,3.316865,3.3476393,3.3622124,3.3485188,3.3716824,3.372297,3.3299727,3.3606222,3.3400338,3.3722727,3.3401031,3.3540375,3.3306546,3.3528616,3.3537662,3.3683279,3.373997,3.3858078,3.3683755,3.3469021,3.3648198,3.365143,3.3905497,3.3717425,3.3973434,3.3640401,3.4023507,3.3880847,3.398001,3.4051142,3.3971496,3.4089289,3.4034383,3.418064,3.3962233,3.4061894,3.4059691,3.4071646,3.4370174,3.417079,3.4360962,3.439508,3.4358056,3.4246614,3.4282944,3.4399927,3.4436595,3.44487,3.4316437,3.437976,3.4449124,3.4439304,3.451353,3.4537563,3.4432425,3.4528425,3.4593,3.4556518,3.4475942,3.492547,3.4802837,3.4884503,3.511192,3.5091789,3.493304,3.508776,3.483753,3.4702268,3.4541876,3.4557438,3.4466062,3.4357536,3.4319468,3.4255016,3.409293,3.4089923,3.3966706,3.3497074,3.3623862,3.3661683,3.3358014,3.319218,3.3475645,3.3353057,3.3129113,3.283371,3.2802374,3.2621367,3.2547643,3.2517397,3.2343554,3.2496161,3.2148814,3.2235465,3.2147534,3.2098176,3.2095416,3.1995137,3.2175322,3.184146,3.1851857,3.1936781,3.2055836,3.2038715,3.197399,3.2006397,3.2090564,3.208423,3.2149706,3.1857657,3.2151496,3.1885703,3.2132213,3.210205,3.2081904,3.2139423,3.228555,3.2339125,3.2277148,3.2347677,3.2295973,3.2430096,3.2595165,3.2573745,3.2886894,3.2806041,3.2678826,3.284739,3.2864256,3.2999246,3.3118987,3.3253891,3.3354082,3.343877,3.3429577,3.354632,3.3528159,3.3627832,3.3498135,3.3519433,3.3770733,3.3429866,3.3759882,3.385025,3.3909025,3.4043288,3.4128273,3.4178598,3.4287508,3.4041545,3.4218721,3.4325345,3.4292867,3.439217,3.453065,3.4248307,3.4489481,3.4614456,3.4614875,3.4673674,3.459466,3.453799,3.4535663,3.4726229,3.4798896,3.4744096,3.4845598,3.4978566,3.4712343,3.501832,3.456672,3.4941857,3.4824047,3.455618,3.4793477,3.474366,3.468476,3.4479463,3.4659638,3.4755237,3.4422095,3.4607847,3.4655335,3.4587624,3.4746537,3.4759707,3.4532535,3.4635339,3.4780579,3.4558706,3.4705055,3.4635253,3.452872,3.4595196,3.4624457,3.481688,3.4708514,3.4611504,3.4536698,3.4654648,3.4647017,3.4829195,3.474099,3.4646518,3.4697163,3.4653678,3.4715402,3.4721282,3.4555476,3.4586608,3.4676125,3.4698284,3.4743943,3.4841466,3.4742508,3.4671962,3.476443,3.460288,3.4778907,3.4726343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS/491.png,e,0.1982777999946847,8.0,16.0,3.611908,3.598691,3.6172779,3.6277945,3.5988233,3.6149662,3.6213815,3.6229432,3.6254473,3.625477,3.6236718,3.627582,3.6414058,3.6388211,3.627805,3.6381855,3.643213,3.6372862,3.6661963,3.6447198,3.650289,3.6640298,3.6466813,3.6563382,3.6781206,3.6486204,3.6904051,3.6872628,3.681932,3.6777413,3.6870272,3.723238,3.7051945,3.736384,3.7100508,3.7325604,3.7348187,3.651256,3.6386285,3.6819358,3.650443,3.6800132,3.6364164,3.66754,3.673803,3.681136,3.6696966,3.699918,3.6844513,3.7101645,3.6874464,3.6970422,3.6949995,3.6978223,3.693182,3.717684,3.6671073,3.691317,3.6621578,3.6898165,3.652379,3.6517081,3.6207123,3.617421,3.6085675,3.5877676,3.5648332,3.5452635,3.553736,3.5239859,3.5440834,3.5264666,3.527035,3.5359163,3.5218325,3.5187442,3.5081341,3.5095325,3.5096047,3.4946363,3.5060735,3.4972942,3.4892793,3.4904046,3.4826057,3.4556973,3.5032456,3.474352,3.4637926,3.46745,3.4770863,3.4748673,3.505147,3.4716718,3.479148,3.4728625,3.4805639,3.4808595,3.4729311,3.4748998,3.4728115,3.4879997,3.4820848,3.4886973,3.4855328,3.484444,3.4830914,3.502052,3.4999943,3.4941685,3.5068474,3.5170228,3.506718,3.5302513,3.5151105,3.5325525,3.5280383,3.5193868,3.5075405,3.5436008,3.5221314,3.5396855,3.5294728,3.5501409,3.5471332,3.5559158,3.577836,3.5573208,3.6170003,3.5620816,3.5756917,3.5671043,3.5948825,3.595593,3.5961714,3.5980198,3.5862079,3.596139,3.596043,3.596536,3.6064532,3.5999665,3.5739331,3.5924878,3.595171,3.5934038,3.561971,3.6066728,3.5856266,3.5895205,3.5789442,3.5472796,3.5546627,3.5793557,3.5186098,3.5290983,3.5364761,3.527008,3.532375,3.5323932,3.536798,3.533282,3.5273557,3.5380602,3.5192735,3.5299792,3.539088,3.5184348,3.5124118,3.528393,3.5357194,3.5166419,3.5385396,3.5162137,3.5368598,3.541532,3.528968,3.5400002,3.532706,3.5330045,3.5274227,3.5436852,3.5350144,3.551366,3.524588,3.5457191,3.5419118,3.5629678,3.5697587,3.562715,3.5604565,3.5726788,3.5697246,3.5608308,3.5876548,3.568324,3.582907,3.6180706,3.6034899,3.6151419,3.598718,3.610693,3.610451,3.610933,3.6187093,3.6220887,3.6274033,3.633583,3.6337588,3.6349947,3.636423,3.6405797,3.6302361,3.6607394,3.665067,3.6474557,3.6722922,3.6835704,3.6638458,3.6725762,3.645752,3.665663,3.6533637,3.6807375,3.665684,3.6417527,3.6646376,3.6482975,3.641796,3.6642575,3.6175795,3.6190288,3.5912278,3.5366535,3.5580668,3.5098462,3.4837978,3.4615576,3.449411,3.4407563,3.459174,3.455056,3.4250998,3.4303575,3.4286954,3.4377503,3.4199753,3.4002628,3.4254694,3.4275289,3.4258764,3.4204707,3.430108,3.4150279,3.4195743,3.4373431,3.4161854,3.4196522,3.424511,3.4387095,3.4335299,3.4343116,3.432866,3.452885,3.449976,3.4516683,3.4335823,3.4629915,3.4645376,3.4540634,3.47973,3.4630816,3.4970164,3.5024354,3.507578,3.514848,3.518829,3.5280094,3.5390341,3.5242374,3.5360854,3.5191383,3.6101582,3.6011493,3.5606654,3.6153576,3.5536873,3.6545675,3.6031187,3.60763,3.6031506,3.6494238,3.622115,3.6328485,3.6354163,3.6352096,3.6433728,3.629331,3.7065372,3.6645951,3.6538162,3.605418,3.643853,3.6573577,3.6467595,3.663556,3.6660364,3.6672323,3.6636581,3.682552,3.687206,3.6774654,3.6958194,3.698034,3.6998122,3.6767936,3.694991,3.7074797,3.7131226,3.689184,3.698071,3.6907487,3.7059348,3.7301075,3.7121468,3.7185245,3.724983,3.720291,3.7255025,3.7298808,3.72968,3.7353988,3.7304595,3.7211347,3.7090554,3.7391884,3.7276897,3.7355506,3.7726083,3.7761157,3.7478411,3.7547827,3.7426455,3.7458727,3.7271483,3.7325294,3.7676482,3.7450383,3.7462878,3.7595663,3.747003,3.7346745,3.7464635,3.7652898,3.7713985,3.7677786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
